source,device_id,date,feature,value_today,median,robust_sigma,z,vote,direction,strength
vsphere_vm,localhost,2025-10-17,events_raw,34556.0,34558.0,2.965159377316531,-0.6745,0,DOWN,OK
vsphere_vm,localhost,2025-10-17,events_after_day_filter,4090.0,2603.0,988.880652335063,1.5037203898050975,0,UP,OK
vsphere_vm,localhost,2025-10-17,total_events,4090.0,2603.0,988.880652335063,1.5037203898050975,0,UP,OK
vsphere_vm,localhost,2025-10-17,bytes_total,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,bytes_per_event,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,unique_src_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,unique_dst_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_accept_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_accept_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_deny_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_deny_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_client-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_client-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_server-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_server-rst_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_timeout_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_timeout_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_passthrough_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-17,action_passthrough_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,events_raw,34560.0,34558.0,2.965159377316531,0.6745,0,UP,OK
vsphere_vm,localhost,2025-10-18,events_after_day_filter,4328.0,2707.0,1037.8057820607858,1.5619492857142858,0,UP,OK
vsphere_vm,localhost,2025-10-18,total_events,4328.0,2707.0,1037.8057820607858,1.5619492857142858,0,UP,OK
vsphere_vm,localhost,2025-10-18,bytes_total,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,bytes_per_event,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,unique_src_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,unique_dst_ip,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,action_accept_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,action_accept_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,action_deny_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,action_deny_rate,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
vsphere_vm,localhost,2025-10-18,action_client-rst_count,0.0,0.0,7.412898443291327e-13,0.0,0,UP,OK
